timestamp,page_url,file_url,status
2026-03-17 15:26:42,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-09.mp3?_=9,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-09.mp3?_=9 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-09_2.mp3
2026-03-17 15:26:49,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-10.mp3,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-10.mp3 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-10.mp3
2026-03-17 15:27:02,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-10.mp3?_=10,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-10.mp3?_=10 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-10_2.mp3
2026-03-17 15:27:12,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-11.mp3,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-11.mp3 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-11.mp3
2026-03-17 15:27:19,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-11.mp3?_=11,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-11.mp3?_=11 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-11_2.mp3
2026-03-17 15:27:26,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-12.mp3,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-12.mp3 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-12.mp3
2026-03-17 15:27:32,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-12.mp3?_=12,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-12.mp3?_=12 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-12_2.mp3
2026-03-17 15:27:41,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-13.mp3,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-13.mp3 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-13.mp3
2026-03-17 15:27:50,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-13.mp3?_=13,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-13.mp3?_=13 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-13_2.mp3
2026-03-17 15:27:56,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-14.mp3,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-14.mp3 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-14.mp3
2026-03-17 15:28:02,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-14.mp3?_=14,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-14.mp3?_=14 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-14_2.mp3
2026-03-17 15:28:05,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-15.mp3,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-15.mp3 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-15.mp3
2026-03-17 15:28:09,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-15.mp3?_=15,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-15.mp3?_=15 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-15_2.mp3
2026-03-17 15:28:13,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-16.mp3,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-16.mp3 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-16.mp3
2026-03-17 15:28:16,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-16.mp3?_=16,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-16.mp3?_=16 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-16_2.mp3
2026-03-17 15:28:20,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-17.mp3,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-17.mp3 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-17.mp3
2026-03-17 15:28:24,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-17.mp3?_=17,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-17.mp3?_=17 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-17_2.mp3
2026-03-17 15:28:27,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-18.mp3,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-18.mp3 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-18.mp3
2026-03-17 15:28:30,http://thaohoiam.vn/bat-nha-ba-la-mat-kinh/,http://thaohoiam.vn/wp-content/uploads/2013/08/BN-18.mp3?_=18,DOWNLOADED | http://thaohoiam.vn/wp-content/uploads/2013/08/BN-18.mp3?_=18 -> ..\THICH_TU_THONG\BAT NHA BA LA MAT KINH\BN-18_2.mp3
