status,source,destination_or_error
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\01-Vo-thuong-tham-tham-vi-dieu-phap-Ba-thien-van-kiep-nan-tao-ngo1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\02-Co-bay-cach-cau-tao-nhan-de-bo-kinh1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\03-Duc-Phap-than-la-gi1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\04-Niet-ban-la-canh-gioi-so-chung-o-noi-tam-con-nguoi-dut-het-sanh-tu-Dut-het-sanh-tu-ra-sao1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\05-Dai-Bat-Niet-Ban-la-the-nao1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\06-Nghia-thu-ba-cua-Niet-ban-la-Dai-Vien-Tich-Nhap-ra-sao1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\07-Sau-dieu-kho-khi-hoc-kinh-Dai-Bat-Niet-Ban1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\08-Nhu-Lai-khong-thuong-ai-het-Dung-lam-Nhu-Lai-thuong-chung-sanh-nhu-con-mot1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\09-Y-nghia-Ung-hoa-than-Bao-than-Phap-than-Phat1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\10-Gioi-thieu-Pham-Tua-kinh-DBNB1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\11-Lam-cach-nao-trong-1-ngay-1-dem-Phat-giang-xong-kinh-DBNB1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\12-Y-nghia-10-duc-hieu-cua-duc-Phat1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\13-Nhu-Lai-Phap-than-la-gi1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\14-DBNB-la-dai-nhap-diet-tuc-Diet-la-diet-cai-gi-Tuc-la-the-nao1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\15-Vo-thuong-sanh-tru-di-diet-la-hien-tuong-trong-vu-tru-khong-thien-vi-nguoi-nao1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\16-Tai-sao-lai-goi-9-phuong-troi-10-phuong-chu-Phat1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\17-The-nao-la-Thua-GAP-Gioi-HUON1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\18-Duc-Phat-day-cach-cung-duong-duoc-phuoc-qua-ngang-nhau1.mp3,
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\19Tim-hieu-Phat-tanh-Phap-tanh-Tang-tanh-va-Phap-than1.mp3,
